model_type,model_name,epsilon,total,success,asr,mean_success_step,mean_step_size
bcos,densenet_121,0.03,1000,588,0.588,56.60204081632653,0.00075
bcos,densenet_121,0.05,1000,824,0.824,47.1747572815534,0.00125
bcos,densenet_121,0.1,1000,964,0.964,31.198132780082986,0.0025
bcos,densenet_121,0.2,1000,996,0.996,18.59136546184739,0.005
bcos,resnet_50,0.03,1000,533,0.533,58.686679174484055,0.00075
bcos,resnet_50,0.05,1000,789,0.789,49.85424588086185,0.00125
bcos,resnet_50,0.1,1000,938,0.938,33.24200426439232,0.0025
bcos,resnet_50,0.2,1000,975,0.975,20.58871794871795,0.005
bcos,simple_vit_b_patch16_224,0.03,896,520,0.5803571428571429,54.36538461538461,0.00075
torchvision,densenet121,0.03,1000,826,0.826,52.46610169491525,0.00075
torchvision,densenet121,0.05,1000,945,0.945,39.87830687830688,0.00125
torchvision,densenet121,0.1,1000,992,0.992,25.10483870967742,0.0025
torchvision,densenet121,0.2,1000,999,0.999,15.92992992992993,0.005
torchvision,resnet50,0.03,1000,408,0.408,60.2328431372549,0.00075
torchvision,resnet50,0.05,1000,553,0.553,52.54611211573237,0.00125
torchvision,resnet50,0.1,1000,711,0.711,44.49789029535865,0.0025
torchvision,resnet50,0.2,1000,798,0.798,37.68546365914787,0.005
torchvision,vit_b_16,0.03,1000,364,0.364,58.27197802197802,0.00075
torchvision,vit_b_16,0.05,1000,567,0.567,53.216931216931215,0.00125
torchvision,vit_b_16,0.1,1000,755,0.755,42.3523178807947,0.0025
torchvision,vit_b_16,0.2,1000,860,0.86,34.29302325581396,0.005
